time,gps_speed(m/s),mm_lon,mm_lat
1675110247385,3.35,-81.830506,28.835056
1675110247452,3.33,-81.830506,28.835056
1675110247518,3.3,-81.830505,28.835056
1675110247585,3.28,-81.830503,28.835056
1675110247652,3.26,-81.830502,28.835056
1675110247718,3.24,-81.830501,28.835056
1675110247785,3.22,-81.8305,28.835056
1675110247852,3.21,-81.830499,28.835056
1675110247918,3.19,-81.830498,28.835056
1675110247985,3.18,-81.830497,28.835056
1675110248052,3.17,-81.830496,28.835056
1675110248118,3.15,-81.830495,28.835056
1675110248185,3.14,-81.830494,28.835056
1675110248252,3.14,-81.830493,28.835056
1675110248318,3.13,-81.830492,28.835056
1675110248385,3.12,-81.830491,28.835056
1675110248452,3.11,-81.83049,28.835056
1675110248518,3.11,-81.830489,28.835056
1675110248585,3.11,-81.830488,28.835056
1675110248652,3.1,-81.830487,28.835056
1675110248718,3.1,-81.830486,28.835056
1675110248785,3.1,-81.830485,28.835056
1675110248852,3.1,-81.830484,28.835056
1675110248918,3.1,-81.830483,28.835056
1675110248985,3.09,-81.830482,28.835056
1675110249052,3.1,-81.830481,28.835056
1675110249118,3.1,-81.83048,28.835056
1675110249185,3.1,-81.830479,28.835056
1675110249252,3.1,-81.830478,28.835056
1675110249318,3.1,-81.830477,28.835056
1675110249385,3.1,-81.830476,28.835056
1675110249452,3.1,-81.830474,28.835055
1675110249518,3.1,-81.830473,28.835051
1675110249585,3.11,-81.830471,28.835047
1675110249652,3.11,-81.830469,28.835044
1675110249718,3.11,-81.830467,28.83504
1675110249785,3.11,-81.830466,28.835037
1675110249852,3.11,-81.830464,28.835033
1675110249918,3.11,-81.830462,28.835029
1675110249985,3.11,-81.830461,28.835026
1675110250052,3.12,-81.830459,28.835022
1675110250118,3.12,-81.830457,28.835019
1675110250185,3.12,-81.830455,28.835015
1675110250252,3.12,-81.830454,28.835011
1675110250318,3.12,-81.830452,28.835008
1675110250385,3.12,-81.83045,28.835004
1675110250452,3.12,-81.830448,28.835001
1675110250518,3.12,-81.830447,28.834997
1675110250585,3.13,-81.830445,28.834993
1675110250652,3.13,-81.830443,28.83499
1675110250718,3.13,-81.830442,28.834986
1675110250785,3.13,-81.83044,28.834982
1675110250852,3.13,-81.830438,28.834979
1675110250918,3.13,-81.830436,28.834975
1675110250985,3.13,-81.830435,28.834972
1675110251052,3.13,-81.830433,28.834968
1675110251118,3.14,-81.830431,28.834964
1675110251185,3.14,-81.830429,28.834961
1675110251252,3.14,-81.830428,28.834957
1675110251318,3.15,-81.830426,28.834954
1675110251385,3.15,-81.830424,28.83495
1675110251452,3.15,-81.830423,28.834946
1675110251518,3.16,-81.830421,28.834943
1675110251585,3.16,-81.830419,28.834939
1675110251652,3.17,-81.830417,28.834936
1675110251718,3.18,-81.830416,28.834932
1675110251785,3.19,-81.830414,28.834928
1675110251852,3.2,-81.830412,28.834925
1675110251918,3.21,-81.830411,28.834921
1675110251985,3.23,-81.830409,28.834918
1675110252052,3.24,-81.830407,28.834914
1675110252118,3.26,-81.830405,28.83491
1675110252185,3.28,-81.830404,28.834907
1675110252252,3.3,-81.830402,28.834903
1675110252318,3.32,-81.8304,28.8349
1675110252385,3.35,-81.830398,28.834896
1675110252452,3.38,-81.830397,28.834892
1675110252518,3.41,-81.830395,28.834889
1675110252585,3.44,-81.830393,28.834885
1675110252652,3.48,-81.830392,28.834881
1675110252718,3.52,-81.83039,28.834878
1675110252785,3.57,-81.830388,28.834874
1675110252852,3.61,-81.830386,28.834871
1675110252918,3.66,-81.830385,28.834867
1675110252985,3.71,-81.830383,28.834863
1675110253052,3.77,-81.830381,28.83486
1675110253118,3.83,-81.830379,28.834856
1675110253185,3.89,-81.830378,28.834853
1675110253252,3.96,-81.830376,28.834849
1675110253318,4.03,-81.830374,28.834845
1675110253385,4.1,-81.830373,28.834842
1675110253452,4.17,-81.830371,28.834838
1675110253518,4.25,-81.830369,28.834835
1675110253585,4.33,-81.830367,28.834831
1675110253652,4.41,-81.830366,28.834827
1675110253718,4.5,-81.830364,28.834824
1675110253785,4.58,-81.830362,28.83482
1675110253852,4.67,-81.83036,28.834816
1675110253918,4.76,-81.830359,28.834813
1675110253985,4.86,-81.830357,28.834809
1675110254052,4.95,-81.830355,28.834806
1675110254118,5.05,-81.830354,28.834802
1675110254185,5.14,-81.830352,28.834798
1675110254252,5.24,-81.83035,28.834795
1675110254318,5.34,-81.830348,28.834791
1675110254385,5.44,-81.830347,28.834788
1675110254452,5.54,-81.830345,28.834784
1675110254518,5.64,-81.830343,28.83478
1675110254585,5.73,-81.830341,28.834777
1675110254652,5.83,-81.83034,28.834773
1675110254718,5.93,-81.830338,28.83477
1675110254785,6.03,-81.830336,28.834766
1675110254852,6.12,-81.830335,28.834762
1675110254918,6.22,-81.830333,28.834759
1675110254985,6.31,-81.830331,28.834755
1675110255052,6.4,-81.830329,28.834752
1675110255118,6.49,-81.830328,28.834748
1675110255185,6.57,-81.830326,28.834744
1675110255252,6.66,-81.830324,28.834741
1675110255318,6.74,-81.830323,28.834737
1675110255385,6.82,-81.830321,28.834733
1675110255452,6.89,-81.83032,28.834728
1675110255518,6.97,-81.83032,28.834722
1675110255585,7.04,-81.83032,28.834715
1675110255652,7.11,-81.830319,28.834708
1675110255718,7.17,-81.830319,28.834701
1675110255785,7.24,-81.830319,28.834695
1675110255852,7.3,-81.830319,28.834688
1675110255918,7.35,-81.830319,28.834681
1675110255985,7.41,-81.830319,28.834674
1675110256052,7.46,-81.830319,28.834667
1675110256118,7.52,-81.830319,28.834661
1675110256185,7.57,-81.830319,28.834654
1675110256252,7.61,-81.830318,28.834647
1675110256318,7.66,-81.830318,28.83464
1675110256385,7.71,-81.830318,28.834634
1675110256452,7.75,-81.830318,28.834628
1675110256518,7.79,-81.830318,28.834622
1675110256585,7.83,-81.830318,28.834617
1675110256652,7.87,-81.830318,28.834612
1675110256718,7.91,-81.830318,28.834607
1675110256785,7.95,-81.830318,28.834602
1675110256852,7.99,-81.830317,28.834597
1675110256918,8.03,-81.830317,28.834592
1675110256985,8.07,-81.830317,28.834587
1675110257052,8.1,-81.830317,28.834582
1675110257118,8.14,-81.830317,28.834577
1675110257185,8.18,-81.830317,28.834572
1675110257252,8.21,-81.830317,28.834567
1675110257318,8.25,-81.830317,28.834561
1675110257385,8.29,-81.830317,28.834556
1675110257452,8.33,-81.830317,28.834554
1675110257518,8.36,-81.830317,28.834553
1675110257585,8.4,-81.830317,28.834552
1675110257652,8.44,-81.830317,28.834551
1675110257718,8.48,-81.830317,28.834551
1675110257785,8.52,-81.830317,28.83455
1675110257852,8.56,-81.830317,28.834549
1675110257918,8.59,-81.830317,28.834549
1675110257985,8.63,-81.830317,28.834548
1675110258052,8.67,-81.830317,28.834547
1675110258118,8.71,-81.830317,28.834546
1675110258185,8.75,-81.830317,28.834546
1675110258252,8.79,-81.830317,28.834545
1675110258318,8.82,-81.830316,28.834544
1675110258385,8.86,-81.830316,28.834544
1675110258452,8.9,-81.830316,28.834541
1675110258518,8.94,-81.830316,28.834536
1675110258585,8.97,-81.830316,28.834531
1675110258652,9.01,-81.830316,28.834526
1675110258718,9.04,-81.830316,28.834521
1675110258785,9.08,-81.830316,28.834516
1675110258852,9.11,-81.830316,28.834511
1675110258918,9.14,-81.830316,28.834506
1675110258985,9.17,-81.830316,28.834501
1675110259052,9.2,-81.830316,28.834496
1675110259118,9.23,-81.830315,28.834491
1675110259185,9.25,-81.830315,28.834486
1675110259252,9.28,-81.830315,28.834481
1675110259318,9.3,-81.830315,28.834476
1675110259385,9.33,-81.830315,28.834471
1675110259452,9.35,-81.830315,28.834465
1675110259518,9.37,-81.830315,28.83446
1675110259585,9.39,-81.830315,28.834454
1675110259652,9.4,-81.830315,28.834449
1675110259718,9.42,-81.830315,28.834443
1675110259785,9.43,-81.830314,28.834438
1675110259852,9.45,-81.830314,28.834432
1675110259918,9.46,-81.830314,28.834427
1675110259985,9.47,-81.830314,28.834421
1675110260052,9.48,-81.830314,28.834416
1675110260118,9.49,-81.830314,28.83441
1675110260185,9.49,-81.830314,28.834405
1675110260252,9.5,-81.830314,28.834399
1675110260318,9.51,-81.830314,28.834394
1675110260385,9.51,-81.830314,28.834388
1675110260452,9.52,-81.830313,28.834383
1675110260518,9.52,-81.830313,28.834377
1675110260585,9.52,-81.830313,28.834372
1675110260652,9.53,-81.830313,28.834366
1675110260718,9.53,-81.830313,28.834361
1675110260785,9.53,-81.830313,28.834355
1675110260852,9.53,-81.830313,28.83435
1675110260918,9.53,-81.830313,28.834344
1675110260985,9.53,-81.830313,28.834336
1675110261052,9.54,-81.830312,28.834328
1675110261118,9.54,-81.830312,28.834319
1675110261185,9.54,-81.830312,28.834311
1675110261252,9.54,-81.830312,28.834302
1675110261318,9.55,-81.830312,28.834294
1675110261385,9.55,-81.830312,28.834285
1675110261452,9.56,-81.830311,28.834276
1675110261518,9.56,-81.830311,28.834268
1675110261585,9.57,-81.830311,28.834259
1675110261652,9.58,-81.830311,28.834251
1675110261718,9.58,-81.830311,28.834242
1675110261785,9.6,-81.830311,28.834234
1675110261852,9.61,-81.83031,28.834225
1675110261918,9.62,-81.83031,28.834217
1675110261985,9.64,-81.83031,28.834209
1675110262052,9.65,-81.83031,28.834202
1675110262118,9.67,-81.83031,28.834195
1675110262185,9.69,-81.83031,28.834188
1675110262252,9.71,-81.83031,28.834181
1675110262318,9.74,-81.83031,28.834174
1675110262385,9.76,-81.830309,28.834167
1675110262452,9.79,-81.830309,28.83416
1675110262518,9.82,-81.830309,28.834153
1675110262585,9.85,-81.830309,28.834146
1675110262652,9.88,-81.830309,28.834139
1675110262718,9.91,-81.830309,28.834132
1675110262785,9.95,-81.830309,28.834125
1675110262852,9.98,-81.830308,28.834118
1675110262918,10.02,-81.830308,28.834111
1675110262985,10.06,-81.830308,28.834103
1675110263052,10.1,-81.830308,28.834093
1675110263118,10.14,-81.830308,28.834084
1675110263185,10.18,-81.830308,28.834075
1675110263252,10.22,-81.830307,28.834066
1675110263318,10.26,-81.830307,28.834057
1675110263385,10.3,-81.830307,28.834048
